suite,condition
SVNA-pp,match_plural
SVNA-pp,match_sing
SVNA-pp,mismatch_plural
SVNA-pp,mismatch_sing
SVNA-orc,match_plural
SVNA-orc,match_sing
SVNA-orc,mismatch_plural
SVNA-orc,mismatch_sing
SVNA-src,match_plural
SVNA-src,match_sing
SVNA-src,mismatch_plural
SVNA-src,mismatch_sing
NPL-any-orc,neg_neg
NPL-any-orc,neg_pos
NPL-any-orc,pos_neg
NPL-any-orc,pos_pos
NPL-any-src,neg_neg
NPL-any-src,neg_pos
NPL-any-src,pos_neg
NPL-any-src,pos_pos
NPL-ever-orc,neg_neg
NPL-ever-orc,neg_pos
NPL-ever-orc,pos_neg
NPL-ever-orc,pos_pos
NPL-ever-src,neg_neg
NPL-ever-src,neg_pos
NPL-ever-src,pos_neg
NPL-ever-src,pos_pos
RNA-f-orc,match_plural
RNA-f-orc,match_sing
RNA-f-orc,mismatch_plural
RNA-f-orc,mismatch_sing
RNA-f-src,match_plural
RNA-f-src,match_sing
RNA-f-src,mismatch_plural
RNA-f-src,mismatch_sing
RNA-m-orc,match_plural
RNA-m-orc,match_sing
RNA-m-orc,mismatch_plural
RNA-m-orc,mismatch_sing
RNA-m-src,match_plural
RNA-m-src,match_sing
RNA-m-src,mismatch_plural
RNA-m-src,mismatch_sing
filler-gap_dependencies-epp,that_gap
filler-gap_dependencies-epp,that_nogap
filler-gap_dependencies-epp,what_gap
filler-gap_dependencies-epp,what_nogap
filler-gap_dependencies-oe,that_gap
filler-gap_dependencies-oe,that_nogap
filler-gap_dependencies-oe,what_gap
filler-gap_dependencies-oe,what_nogap
filler-gap_dependencies-se,that_gap
filler-gap_dependencies-se,that_nogap
filler-gap_dependencies-se,what_gap
filler-gap_dependencies-se,what_nogap
