item,suite,condition,sentence,targets,competitors,l_maze,critical_region,region_number,freqlog10,len
215,NA,filler,The boy who was wearing a blue cap went missing on his way home last week,The|boy|who|was|wearing|a|blue|cap|went|missing|on|his|way|home|last|week,x-x-x|bok|jack|map|gniraew|e|hear|blog|soul|awesome|yeah|tis|wal|damn|lars|deek,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,5.11650480266873|2.19865708695442|3.48144262850231|4.32240538106765|1.85733249643127|4.55819238923985|2.46089784275655|1.98227123303957|2.59988307207369|1.96848294855394|4.18015455945335|3.95520653754194|2.82607480270083|2.89486965674525|2.8234742291703|2.63848925695464,3|3|3|3|7|1|4|3|4|7|2|3|3|4|4|4
216,NA,filler,The thief noticed the boy and the girl watching him from the upstairs window,The|thief|noticed|the|boy|and|the|girl|watching|him|from|the|upstairs|window,x-x-x|frief|colonel|ble|bok|plus|else|sir|expected|lord|fror|tho|ruthless|gandow,FALSE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,5.11650480266873|1.30102999566398|1.32221929473392|5.11650480266873|2.19865708695442|4.70531622468301|5.11650480266873|2.23299611039215|1.78532983501077|3.26599637049508|3.96520170102591|5.11650480266873|0.698970004336019|1.92427928606188,3|5|7|3|3|3|3|4|8|3|4|3|8|6
217,NA,filler,Bill will quit his job next month to take care of his kids and step-children,Bill|will|quit|his|job|next|month|to|take|care|of|his|kids|and|step-children,x-x-x|wids|kiss|we|hear|anti|click|ass|yeah|cank|oy|ris|kins|ase|nerdlihc-pets,FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,2.3096301674259|2.90525604874845|1.43136376415899|3.95520653754194|2.15836249209525|2.79098847508882|2.45636603312904|4.59683891382516|2.72181061521255|2.08278537031645|4.75611098671178|3.95520653754194|1.5910646070265|4.70531622468301|0,4|4|4|3|3|4|5|2|4|4|2|3|4|3|13
219,NA,filler,Megan got angry with her boss and sued him for discrimination last month,Megan|got|angry|with|her|boss|and|sued|him|for|discrimination|last|month,x-x-x|git|roman|wich|heg|bote|ase|trek|ha|sor|derphecination|dad|gotta,FALSE|TRUE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,1.43136376415899|2.31597034545692|1.56820172406699|4.11437742978615|3.56478438450399|1.69019608002851|4.70531622468301|1.17609125905568|3.26599637049508|4.1397217048152|1|2.8234742291703|2.45636603312904,5|3|5|4|3|4|3|4|3|3|14|4|5
220,NA,filler,The pilot will fly a new airplane to Europe and back beginning next week,The|pilot|will|fly|a|new|airplane|to|Europe|and|back|beginning|next|week,x-x-x|pirat|wull|ylf|nor|been|offended|yeah|eporue|ase|sir|amendment|holy|hear,FALSE|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,5.11650480266873|2.01703333929878|2.90525604874845|2.11058971029925|4.55819238923985|3.44216608578472|0.903089986991944|4.59683891382516|2.51587384371168|4.70531622468301|2.959518376973|2.41329976408125|2.79098847508882|2.63848925695464,3|5|4|3|1|3|8|2|6|3|4|9|4|4
221,NA,filler,The nurse took care of the old lady who could not take care of herself,The|nurse|took|care|of|the|old|lady|who|could|not|take|care|of|herself,x-x-x|nunge|teek|cank|i|yeah|else|hate|sale|units|anti|ago|cank|ef|founder,FALSE|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,5.11650480266873|1.73239375982297|2.87215627274829|2.08278537031645|4.75611098671178|5.11650480266873|2.82542611776782|2.28555730900777|3.48144262850231|3.01452053875792|3.6028193424327|2.72181061521255|2.08278537031645|4.75611098671178|2.05690485133647,3|5|4|4|2|3|3|4|3|5|3|4|4|2|7
223,NA,filler,Margo will open bakeries in Chicago and New York after getting a loan next year,Margo|will|open|bakeries|in|Chicago|and|New|York|after|getting|a|loan|next|year,x-x-x|wims|god|clemency|ix|ogacihc|cent|naw|kroy|thing|happens|yeah|gods|oh|eyes,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,0|2.90525604874845|2.65417654187796|0|4.65304841597287|2.27875360095283|4.70531622468301|3.44216608578472|2.83632411570675|3.57403126772772|1.91381385238372|4.55819238923985|1.7160033436348|2.79098847508882|3.22245633667925,5|4|4|8|2|7|3|3|4|5|7|1|4|4|4
224,NA,filler,Sara and her mother had steak potatoes and green beans for dinner last night,Sara|and|her|mother|had|steak|potatoes|and|green|beans|for|dinner|last|night,x-x-x|ase|am|global|cent|graph|overview|god|event|paths|yeah|panner|lars|niffs,FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,1|4.70531622468301|3.56478438450399|2.51054501020661|3.75648396444261|0|1.04139268515823|4.70531622468301|2.24797326636181|0.778151250383644|4.1397217048152|1.27875360095283|2.8234742291703|2.5705429398819,4|3|3|6|3|5|8|3|5|5|3|6|4|5
227,NA,filler,The student who was running out of money gave himself a haircut last week,The|student|who|was|running|out|of|money|gave|himself|a|haircut|last|week,x-x-x|stubant|yeah|ha|ronding|oux|cent|march|i|himralf|e|gallons|sir|hear,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,5.11650480266873|2.11727129565576|3.48144262850231|4.32240538106765|2.37106786227174|3.24575935596728|4.75611098671178|2.34044411484012|2.68930885912362|2.62117628177504|4.55819238923985|0.954242509439325|2.8234742291703|2.63848925695464,3|7|3|3|7|3|2|5|4|7|1|7|4|4
229,NA,filler,Todd wanted to be a barber but his shaky hands prevented him from becoming one,Todd|wanted|to|be|a|barber|but|his|shaky|hands|prevented|him|from|becoming|one,x-x-x|wirted|anti|oh|i|shores|buk|hir|trams|sorry|pretipsed|hin|ago|bemecing|ove,FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,1.51851393987789|2.47129171105894|4.59683891382516|3.68663626926229|4.55819238923985|0.778151250383644|3.62675085368339|3.95520653754194|0|2.20139712432045|1.72427586960079|3.26599637049508|3.96520170102591|2.34044411484012|3.59228781595213,4|6|2|2|1|6|3|3|5|5|9|3|4|8|3
230,NA,filler,The writer of the novels thought himself to be a genius but he wasn't,The|writer|of|the|novels|thought|himself|to|be|a|genius|but|he|wasn't,x-x-x|wrerer|miss|ha|riders|prevent|weekend|te|bi|them|wenics|mut|sale|couple,FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,5.11650480266873|2.42160392686983|4.75611098671178|5.11650480266873|1.95424250943932|2.62634036737504|2.62117628177504|4.59683891382516|3.68663626926229|4.55819238923985|1.30102999566398|3.62675085368339|3.93986854445951|0,3|6|2|3|6|7|7|2|2|1|6|3|2|6
231,NA,filler,The cute girl who was on the cover of the magazine became a famous doctor,The|cute|girl|who|was|on|the|cover|of|the|magazine|became|a|famous|doctor,x-x-x|etuc|east|quo|wam|am|whe|cader|mark|whom|catholic|please|else|prices|forget,FALSE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,5.11650480266873|1.14612803567824|2.23299611039215|3.48144262850231|4.32240538106765|4.18015455945335|5.11650480266873|2.31806333496276|4.75611098671178|5.11650480266873|2.50514997831991|3.09898963940118|4.55819238923985|2.06818586174616|1.68124123737559,3|4|4|3|3|2|3|5|2|3|8|6|1|6|6
232,NA,filler,The boyfriend of the model was killed in an accident while skiing last week,The|boyfriend|of|the|model|was|killed|in|an|accident|while|skiing|last|week,x-x-x|dneirfyob|ago|tho|sedel|ha|policy|knew|else|opinions|whike|fluing|lars|wook,FALSE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,5.11650480266873|1.54406804435028|4.75611098671178|5.11650480266873|2.11058971029925|4.32240538106765|2.53655844257153|4.65304841597287|3.7942788657214|1.79239168949825|3.32797162362301|0.602059991327962|2.8234742291703|2.63848925695464,3|9|2|3|5|3|6|2|2|8|5|6|4|4
233,NA,filler,Yesterday the wife of the politician discussed health care with old people,Yesterday|the|wife|of|the|politician|discussed|health|care|with|old|people,x-x-x|tha|winx|ef|wre|mositilean|wonderful|please|sun|ha|am|minute,FALSE|TRUE|TRUE|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,0.602059991327962|5.11650480266873|2.53781909507327|4.75611098671178|5.11650480266873|1.36172783601759|1.90848501887865|2.28330122870355|2.08278537031645|4.11437742978615|2.82542611776782|3.0068937079479,9|3|4|2|3|10|9|6|4|4|3|6
234,NA,filler,The children of the rich man were spoiled but they were charming and handsome,The|children|of|the|rich|man|were|spoiled|but|they|were|charming|and|handsome,x-x-x|chigshen|goal|whe|rith|mas|dere|adapter|port|bus|ago|altitude|gas|diameter,FALSE|TRUE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,NA,5.11650480266873|2.71264970162721|4.75611098671178|5.11650480266873|2.00432137378264|2.85003325768977|3.8654001181793|1.14612803567824|3.62675085368339|3.59050746200858|3.8654001181793|1.14612803567824|4.70531622468301|1.04139268515823,3|8|2|3|4|3|4|7|3|4|4|8|3|8
